"SMILES","logPow","UNIT {logPow}","Water solubility","UNIT {Water solubility}","logPow {measured, converted}","UNIT {logPow}","Water solubility {measured, converted}","UNIT {Water solubility}"
"NC1=C(CO)C2=NC3=CC=CC=C3C=C2C=C1","1.77","Log unit","-","-","5888.0","% ","-","-"
"CNC1=C(CO)C2=NC3=CC=CC=C3C=C2C=C1","2.1","Log unit","-","-","12590.0","% ","-","-"
"CN(C)C1=C(CO)C2=NC3=C(C=CC=C3)C=C2C=C1","2.2","Log unit","-","-","15850.0","% ","-","-"
"O=C1NC2=C(CO1)C1=C(C=C2)C=C2C=CC=CC2=N1","1.64","Log unit","-","-","4365.0","% ","-","-"
"CN(C1=CC2=NC3=C(C=CC4=C3COCN4)C=C2C=C1)S(C)(=O)=O","1.54","Log unit","-","-","3467.0","% ","-","-"
"CS(=O)(=O)NC1=CC2=NC3=C(C=CC4=C3COCN4)C=C2C=C1","0.7","Log unit","-","-","501.2","% ","-","-"
"CNC1=CC=C2C=C3C=CC(=CC3=NC2=C1CO)N(C)S(C)(=O)=O","1.56","Log unit","-","-","3631.0","% ","-","-"
"CNC1=C(CO)C2=NC3=C(C=CC(NS(C)(=O)=O)=C3)C=C2C=C1","0.55","Log unit","-","-","354.8","% ","-","-"
"CCOC(=O)NC1=CC2=NC3=C(C=CC4=C3COCN4)C=C2C=C1","2.07","Log unit","-","-","11750.0","% ","-","-"
"CCOC(=O)NC1=CC2=NC3=C(C=CC4=C3COCN4C(=O)OCC)C=C2C=C1","3.12","Log unit","-","-","131800.0","% ","-","-"
"CCOC(=O)NC1=CC=C2C=C3C=CC4=C(COC(=O)N4)C3=NC2=C1","2.0","Log unit","-","-","10000.0","% ","-","-"
"CCOC(=O)NC1=CC2=NC3=C(C=CC(N)=C3CO)C=C2C=C1","1.55","Log unit","-","-","3548.0","% ","-","-"
"CCOC(=O)NC1=CC2=NC3=C(C=CC(NC)=C3CO)C=C2C=C1","1.97","Log unit","-","-","9333.0","% ","-","-"
