ID,SMILES,LogP
0,C1(NON=C1C2=CC=CC=C2)=N,3.093
1,C=1C=CC=CC=1CC(NC=2C=CC(=CC=2)Br)=O,5.245
2,C(C)C1=CC=CS1,4.294
3,N1C=CNC1=NC2C(OC)=NC(=NC2Cl)C,2.254
4,CC(C)CCO,1.939
5,C1CC2CCC1N3C(C(=NC(C23)=O)CC(O)NC(CC4=CN(C(C)=O)C5=CC=CC=C45)C(NC(C(=O)N(C)CC6=CC=CC=C6)CC7=CC=CC=C7)=O)=O,3.98
6,C1C=C(CCN1C)C2=CC=CS2,3.838
7,C=1C(=CC=C(OC)C=1CC=2C(NC(NC=2)=N)=N)OC,2.924
8,ClC1=CC=C(Cl)C=2C=CC=CC1=2,6.216
9,C1=C2C(C(=CC=C2)Cl)=CC(Cl)=C1,5.938
10,O=S(=O)(CCCCCCNCCC1=C2C(NC(=O)S2)=C(C=C1)O)CCC=3C=CC=CC=3,2.793
11,C1=CC=2N=NC=C(C=2C=C1Cl)C,4.047
12,FC(F)(F)S(=O)(=O)NC=1C=CC(=CC=1)C2=CC=CC=C2,6.307
13,CC(C)MC1=C(C(N=C2NNN=N2)=O)SC(OC)=C1Br,3.919
14,C1=C(C=C(O)C(C(OC2=CC=C(C=C2)Cl)=O)=C1)N,5.015
15,C(C(=NO)SCCC)(=O)C1=CC=C(Br)C=C1,5.184
16,C1CN(CCN1CCCC(C=2C=CC(=CC=2)F)=O)C3=CC=CC=C3OC,4.837
17,C(C(NC(=O)C)CC(=O)O)(=O)N,-0.614
18,FC(F)(F)C=1N=C(C2=C(C(=CC(=C2)C)C)N=1)N3CCN(CC3)C(=O)OCC,7.579
19,ClC1=CC(Cl)=CC=C1C=2C(Cl)=CC(Cl)=C(Cl)C=2,8.681
20,C1C2CC=3C(C(C2N)C1)=CC=CC=3,2.678
21,C=1C(O)=CC(=CC=1)CC(=O)O,1.687
22,CCOC(=O)C(C(=O)OCC)=CC1=CC=CC=C1F,4.379
23,N1(C)C(=O)C(C(N(C)C1=O)=O)C=NC2=C(C=3CCC(CC)CC=3S2)C(=O)OCC,7.036
24,O(C1=CC=C(C(=O)C)C=C1)C(C)=O,2.568
25,O=C(O)CCCCCOC=1C=2C=CC=CC=2C=CC=1,5.866
26,[N+]([O-])(=O)C1=CC=C(OCCN2C=CN=N2)C=C1,3.358
27,C(C(CC1=CC=CC=C1)N)C,4.086
28,C1C(N(C(=O)S1)CCNC(CSC=2OC(C=3SC=CC=3)=NN=2)=O)=O,3.886
29,C=1C(=C(C(=CC=1)C2N(C(CC)=O)N=C(C2)C=3C=CC(C4=NN(C(CC)=O)C(C=5C(=C(C=CC=5)OC)OC)C4)=CC=3)OC)OC,3.062
30,C1=CC(=CC(N1)=NCCC2=CC=CC=C2)C=3NNC(=N)N=3,4.106
31,C(OC(C=1C=CC(=CC=1)NCC2=C(NC(=C2C)C(=O)OCC)C)=O)C,6.254
32,CN(C)C1C(C(OC2C(CC(C)C(=O)C(C)C(OC(=O)C)C(C)C(CC)OC(C(C(OC3OC(C)C(C(C)(C3)OC)O)C2C)C)=O)(O)C)OC(C)C1)O,16.808
33,C=1(C(CC)=NC=C(N=1)C)CC,2.979
