smiles	logP	logS	logP-err	logS-err	logP-warn	logS-warn
N=C1NONC1c2ccccc2	0.01	-1.91	0.77	2.39		logS	N=c1[nH]onc1-c1ccccc1
O=C(Cc1ccccc1)Nc2ccc(Br)cc2	3.62	-4.95	0.30	1.19			O=C(Cc1ccccc1)Nc1ccc(Br)cc1
CCc1cccs1	2.90	-2.28	0.31	0.65			CCc1cccs1
COC1=NC(C)=NC(Cl)C1N=C2NCCN2	-0.40	-2.83	0.54	1.40			COC1=NC(C)=NC(Cl)C1N=c1[nH]cc[nH]1
CN1CC=C(c2cccs2)CC1	2.58	-2.35	0.56	0.83			CN1CC=C(c2cccs2)CC1
COc1ccc(OC)c(CC2CNC(=N)NC2=N)c1	0.30	-3.55	0.57	1.54			COc1ccc(OC)c(Cc2c[nH]c(=N)[nH]c2=N)c1
Clc1ccc(Cl)c2ccccc12	4.54	-5.08	0.30	0.85			Clc1ccc(Cl)c2ccccc12
Clc1ccc2cccc(Cl)c2c1	4.56	-5.09	0.30	0.86			Clc1ccc2cccc(Cl)c2c1
O=C1Nc2c(O)ccc(CCNCCCCCCS(=O)(=O)CCc3ccccc3)c2S1	3.23	-5.37	0.79	0.99			O=c1[nH]c2c(O)ccc(CCNCCCCCCS(=O)(=O)CCc3ccccc3)c2s1
Nc1ccc(C(=O)Oc2ccc(Cl)cc2)c(O)c1	3.74	-3.49	0.30	1.23			Nc1ccc(C(=O)Oc2ccc(Cl)cc2)c(O)c1
CCCSC(=NO)C(=O)c1ccc(Br)cc1	3.07	-4.14	0.71	1.34			CCCSC(=NO)C(=O)c1ccc(Br)cc1
COc1ccccc1N2CCN(CCCC(=O)c3ccc(F)cc3)CC2	3.82	-3.59	0.43	1.69			COc1ccccc1N1CCN(CCCC(=O)c2ccc(F)cc2)CC1
CC(=O)NC(CC(=O)O)C(N)=O	-2.01	-0.91	0.36	1.36			CC(=O)NC(CC(=O)O)C(N)=O
CCOC(=O)N1CCN(c2nc(C(F)(F)F)nc3c(C)cc(C)cc23)CC1	3.68	-3.51	0.72	1.31			CCOC(=O)N1CCN(c2nc(C(F)(F)F)nc3c(C)cc(C)cc23)CC1
Clc1ccc(c2cc(Cl)c(Cl)cc2Cl)c(Cl)c1	6.75	-7.61	0.30	0.60			Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)c(Cl)c1
O=C(O)Cc1cccc(O)c1	0.93	-1.34	0.31	0.68			O=C(O)Cc1cccc(O)c1
CCOC(=O)C(=Cc1ccccc1F)C(=O)OCC	3.10	-3.97	0.34	0.93			CCOC(=O)C(=Cc1ccccc1F)C(=O)OCC
CCOC(=O)c1c(N=CC2C(=O)N(C)C(=O)N(C)C2=O)sc3c1CCC(CC)C3	3.08	-4.93	0.89	1.53			CCOC(=O)c1c(N=CC2C(=O)N(C)C(=O)N(C)C2=O)sc2c1CCC(CC)C2
CC(=O)Oc1ccc(C(C)=O)cc1	1.51	-2.28	0.54	1.12			CC(=O)Oc1ccc(C(C)=O)cc1
O=C(O)CCCCCOc1cccc2ccccc12	4.25	-4.66	0.33	1.12			O=C(O)CCCCCOc1cccc2ccccc12
O=N(=O)c1ccc(OCCn2ccnn2)cc1	1.27	-2.15	0.70	0.90			O=[N+]([O-])c1ccc(OCCn2ccnn2)cc1
CCC(N)Cc1ccccc1	2.30	-2.28	0.36	0.94			CCC(N)Cc1ccccc1
O=C(CSc1nnc(c3cccs3)o1)NCCN2C(=O)CSC2=O	0.09	-3.30	0.69	1.29			O=C(CSc1nnc(-c2cccs2)o1)NCCN1C(=O)CSC1=O
